,f_score
Sensor_522,2.1132987504216816
Sensor_171,2.1029445312425863
Sensor_468,2.058397822958301
Sensor_319,1.9884599093054842
Sensor_279,1.9846256393784087
Sensor_588,1.9662368197468922
Sensor_208,1.9642450669373523
Sensor_026,1.9617714335526792
Sensor_495,1.939492492022993
Sensor_378,1.9096305525866148
Sensor_333,1.90107440723424
Sensor_332,1.891389906770759
Sensor_575,1.8881422733543771
Sensor_336,1.8838564321694584
Sensor_566,1.8830450773022733
Sensor_341,1.881297325130021
Sensor_568,1.8329578903153683
Sensor_011,1.7719974830013494
Sensor_455,1.7394554868402496
Sensor_442,1.7319033123000205
Sensor_360,1.714113031331324
Sensor_012,1.6710846220921487
Sensor_573,1.6277132523949478
Sensor_215,1.6241875255172986
Sensor_129,1.6095175315220047
Sensor_081,1.583445768206059
Sensor_223,1.5341679405839879
Sensor_183,1.5292070587844346
Sensor_589,1.5256042796382854
Sensor_010,1.5229850666480786
Sensor_094,1.5143277013102874
Sensor_344,1.4947255979386311
Sensor_273,1.4906119396935107
Sensor_020,1.465406673712898
Sensor_364,1.4514689425945804
Sensor_088,1.4497249009130706
Sensor_205,1.445424593438514
Sensor_135,1.4407109234509603
Sensor_090,1.4390311884424984
Sensor_419,1.4243897663206453
Sensor_340,1.4025792703664695
Sensor_500,1.387514025499978
Sensor_138,1.3713466938655472
Sensor_411,1.3429716303604877
Sensor_486,1.3318720311535195
Sensor_202,1.322232407648355
Sensor_477,1.3015994186496083
Sensor_107,1.2901406484637263
Sensor_113,1.2774680422179232
Sensor_577,1.2711000098396217
Sensor_271,1.2458508746195622
Sensor_048,1.2364157239616789
Sensor_028,1.2350844250659774
Sensor_009,1.2298715708102064
Sensor_076,1.2130376449669036
Sensor_136,1.1647030074853795
Sensor_409,1.1564117781891567
Sensor_272,1.1341762941729105
Sensor_089,1.1302887230454526
Sensor_156,1.0977224313113527
Sensor_429,1.0971550389264961
Sensor_498,1.0849119658174362
Sensor_562,1.07496840840996
Sensor_487,1.0714991201515685
Sensor_240,1.038539306900823
Sensor_289,0.999981879045375
Sensor_001,0.986570638288821
Sensor_274,0.9843056896624253
Sensor_102,0.9805980416326298
Sensor_087,0.9767375987571393
Sensor_542,0.9697714439043064
Sensor_084,0.9399060943525552
Sensor_303,0.9353887677548357
Sensor_239,0.9181845710885803
Sensor_560,0.9116566896014585
Sensor_004,0.9029881215738997
Sensor_021,0.8466500983307794
Sensor_407,0.8465632582473318
Sensor_082,0.8446029036715361
Sensor_559,0.842637775977945
Sensor_045,0.8415269182754994
Sensor_119,0.8409345391653883
Sensor_345,0.8318430717249549
Sensor_425,0.814351210020905
Sensor_209,0.8112732466137706
Sensor_484,0.8020735382009258
Sensor_152,0.7831216876243599
Sensor_168,0.7742574821877188
Sensor_556,0.7659751261064919
Sensor_545,0.7562083731466193
Sensor_308,0.7483361366530845
Sensor_310,0.7467114832057278
Sensor_154,0.7411429904056313
Sensor_222,0.7311085274633824
Sensor_527,0.7262011389017291
Sensor_255,0.7243525648118304
Sensor_353,0.7154486517368523
Sensor_393,0.7082189706294456
Sensor_408,0.7006093867927632
Sensor_287,0.700052065529924
Sensor_226,0.6901206083360375
Sensor_306,0.6793703549740892
Sensor_099,0.6733499819506614
Sensor_377,0.6719045708649686
Sensor_427,0.6641883537220818
Sensor_440,0.6589051745809296
Sensor_044,0.6528067897380002
Sensor_490,0.6439576647573279
Sensor_121,0.6437251253403132
Sensor_162,0.6433172426107107
Sensor_561,0.6322961853237156
Sensor_389,0.6089889803040809
Sensor_058,0.5943178842123179
Sensor_354,0.5936234234134258
Sensor_494,0.5904538076000352
Sensor_572,0.5863899632613396
Sensor_416,0.5703387242103857
Sensor_564,0.5642914013942877
Sensor_063,0.5638564925455076
Sensor_216,0.5454124226884774
Sensor_312,0.541317740640783
Sensor_025,0.5144961627831003
Sensor_270,0.5138499128707447
Sensor_061,0.5134358570621019
Sensor_132,0.5082423553170012
Sensor_030,0.4619641827367495
Sensor_540,0.4474695123838539
Sensor_118,0.4376264177175148
Sensor_297,0.42854269805127637
Sensor_217,0.4140310275097331
Sensor_225,0.4053009433165777
Sensor_007,0.4050338844356353
Sensor_049,0.3649138592275451
Sensor_108,0.3648387450788843
Sensor_143,0.36017153892435394
Sensor_051,0.35964793970292014
Sensor_439,0.3594010853456857
Sensor_475,0.35312326260677407
Sensor_268,0.3484287349657749
Sensor_501,0.3467383506958336
Sensor_219,0.3425509672146747
Sensor_448,0.34225585873798997
Sensor_363,0.3410989957977216
Sensor_358,0.323824253402208
Sensor_492,0.3210025970941676
Sensor_177,0.3205591013439712
Sensor_420,0.31962281757956096
Sensor_291,0.31955263494983066
Sensor_055,0.3155529326078683
Sensor_426,0.30203193807195367
Sensor_523,0.29278862957058277
Sensor_005,0.29093679236288217
Sensor_203,0.2880075424505801
Sensor_276,0.2850488422630894
Sensor_141,0.2849196704166264
Sensor_410,0.2800210728936942
Sensor_443,0.2799184692552427
Sensor_083,0.2701124417100841
Sensor_547,0.2637381751306654
Sensor_117,0.2609427987668007
Sensor_008,0.2601241886035224
Sensor_406,0.25940372534336487
Sensor_024,0.25846066340675133
Sensor_367,0.25769244394682833
Sensor_220,0.24400630113957925
Sensor_218,0.24283241842959027
Sensor_062,0.2402624090658717
Sensor_036,0.23505002837025452
Sensor_286,0.23359119182770655
Sensor_151,0.2251519658171549
Sensor_256,0.2153571269360084
Sensor_526,0.2153484159243288
Sensor_254,0.21312829809894565
Sensor_481,0.20427176254747537
Sensor_137,0.20220428828288764
Sensor_170,0.1990247232539464
Sensor_229,0.1937886495135875
Sensor_528,0.17010536190616302
Sensor_524,0.16933572904621
Sensor_390,0.16837244744913565
Sensor_252,0.16652489542288004
Sensor_283,0.15819939194144156
Sensor_356,0.154206706403066
Sensor_357,0.15292908020006998
Sensor_474,0.1495400137923747
Sensor_322,0.1491004611275672
Sensor_018,0.14866675009599392
Sensor_488,0.143152725795015
Sensor_097,0.1415820952076666
Sensor_047,0.13858723713611829
Sensor_092,0.13781773764836022
Sensor_278,0.13694697142491855
Sensor_056,0.12980001754943807
Sensor_369,0.1274566655021107
Sensor_413,0.1265749503743974
Sensor_186,0.12641862577369925
Sensor_569,0.12450300758060741
Sensor_249,0.12429822719461821
Sensor_483,0.12286750076753408
Sensor_019,0.12071373819918868
Sensor_085,0.11116672970547847
Sensor_046,0.1092456331706487
Sensor_458,0.10855424193026426
Sensor_093,0.10685068412494374
Sensor_387,0.10555241068106185
Sensor_148,0.10159428338226219
Sensor_521,0.09257665520629263
Sensor_355,0.09028373669034259
Sensor_549,0.0865376323928406
Sensor_304,0.08611927530142423
Sensor_305,0.08577176183106884
Sensor_174,0.08403486700092215
Sensor_441,0.08213552100048657
Sensor_169,0.07966367322630641
Sensor_269,0.07876238229193454
Sensor_421,0.07661071627196882
Sensor_251,0.07590526372879704
Sensor_339,0.0751528729664926
Sensor_054,0.0730379382710059
Sensor_163,0.07294000275385504
Sensor_391,0.07247012201842126
Sensor_479,0.07104463904556803
Sensor_343,0.07104463904556792
Sensor_207,0.07104463904556792
Sensor_348,0.07104463904556789
Sensor_210,0.07104463904556788
Sensor_075,0.07104463904556778
Sensor_445,0.07073047507972793
Sensor_491,0.0699256912913712
Sensor_284,0.06966131000038497
Sensor_253,0.06888460959177188
Sensor_460,0.06526019976796517
Sensor_414,0.05838397756170321
Sensor_584,0.05626403699053471
Sensor_541,0.05550288427466611
Sensor_052,0.05507228490731788
Sensor_013,0.054938523812867346
Sensor_525,0.05332893913338733
Sensor_078,0.05243481672439409
Sensor_324,0.05124530468676357
Sensor_188,0.05095329251159593
Sensor_120,0.04929055289145793
Sensor_149,0.04896296012454712
Sensor_565,0.04655249199071312
Sensor_585,0.04614371248039198
Sensor_422,0.04207474217947355
Sensor_586,0.039898660259077616
Sensor_362,0.03867170672020717
Sensor_298,0.0385261267110886
Sensor_288,0.03584407775907124
Sensor_567,0.03513109802337403
Sensor_153,0.03302978921403271
Sensor_275,0.032897452680156945
Sensor_497,0.03129804975684179
Sensor_351,0.030270251539243287
Sensor_392,0.028778044087379717
Sensor_587,0.027209328376001016
Sensor_140,0.026018856573992995
Sensor_553,0.024862694062135676
Sensor_213,0.022268465806210967
Sensor_433,0.02143807362899458
Sensor_178,0.019941753701490084
Sensor_496,0.019523907166201976
Sensor_449,0.019009390123962723
Sensor_172,0.0183489199669172
Sensor_307,0.017754421282745073
Sensor_394,0.017520235359679892
Sensor_550,0.01714042564577683
Sensor_321,0.017033048481050805
Sensor_185,0.0160585623275745
Sensor_313,0.014797725927760042
Sensor_042,0.013774242050617495
Sensor_016,0.01278979733941647
Sensor_368,0.012706726471719616
Sensor_095,0.011065162360039075
Sensor_590,0.010604080265281361
Sensor_037,0.01027919270723464
Sensor_035,0.010278466219135233
Sensor_290,0.010190005873070574
Sensor_002,0.010111631443000145
Sensor_017,0.008775385365657647
Sensor_157,0.007258250910693175
Sensor_040,0.0069037775866852
Sensor_072,0.0061604366563937345
Sensor_571,0.004292589193515827
Sensor_309,0.0041598066168366445
Sensor_155,0.003919426426138183
Sensor_114,0.002761502363772059
Sensor_473,0.0022918521378417506
Sensor_224,0.0017858270060859432
Sensor_003,0.0015626950590765017
Sensor_457,0.0012196941244565255
Sensor_428,0.0009274267556572385
Sensor_109,0.0007892008452050312
Sensor_133,0.00042816945459089753
Sensor_106,0.00021459205159293765
Sensor_430,0.00011871942814859976
Sensor_292,8.228620957556375e-08
Sensor_006,
Sensor_014,
Sensor_043,
Sensor_050,
Sensor_053,
Sensor_070,
Sensor_098,
Sensor_142,
Sensor_150,
Sensor_179,
Sensor_180,
Sensor_187,
Sensor_190,
Sensor_191,
Sensor_192,
Sensor_193,
Sensor_194,
Sensor_195,
Sensor_227,
Sensor_230,
Sensor_231,
Sensor_232,
Sensor_233,
Sensor_234,
Sensor_235,
Sensor_236,
Sensor_237,
Sensor_238,
Sensor_241,
Sensor_242,
Sensor_243,
Sensor_244,
Sensor_257,
Sensor_258,
Sensor_259,
Sensor_260,
Sensor_261,
Sensor_262,
Sensor_263,
Sensor_264,
Sensor_265,
Sensor_266,
Sensor_267,
Sensor_277,
Sensor_285,
Sensor_314,
Sensor_315,
Sensor_316,
Sensor_323,
Sensor_326,
Sensor_327,
Sensor_328,
Sensor_329,
Sensor_330,
Sensor_331,
Sensor_365,
Sensor_370,
Sensor_371,
Sensor_372,
Sensor_373,
Sensor_374,
Sensor_375,
Sensor_376,
Sensor_379,
Sensor_380,
Sensor_381,
Sensor_382,
Sensor_395,
Sensor_396,
Sensor_397,
Sensor_398,
Sensor_399,
Sensor_400,
Sensor_401,
Sensor_402,
Sensor_403,
Sensor_404,
Sensor_405,
Sensor_415,
Sensor_423,
Sensor_450,
Sensor_451,
Sensor_452,
Sensor_459,
Sensor_462,
Sensor_463,
Sensor_464,
Sensor_465,
Sensor_466,
Sensor_467,
Sensor_482,
Sensor_499,
Sensor_502,
Sensor_503,
Sensor_504,
Sensor_505,
Sensor_506,
Sensor_507,
Sensor_508,
Sensor_509,
Sensor_510,
Sensor_513,
Sensor_514,
Sensor_515,
Sensor_516,
Sensor_529,
Sensor_530,
Sensor_531,
Sensor_532,
Sensor_533,
Sensor_534,
Sensor_535,
Sensor_536,
Sensor_537,
Sensor_538,
Sensor_539,
